source,target,weight
advisory_committee_on_the_protection_of_the_sea,mr,0.443333333
advisory_committee_on_the_protection_of_the_sea,si,0.79
advisory_committee_on_the_protection_of_the_sea,ec,0.64
african_group,mr,0.666666667
african_group,si,0.4
african_group,ec,0.5
antigua_and_barbuda,mr,0.866666667
antigua_and_barbuda,si,0.45
antigua_and_barbuda,ec,0.55
argentina,mr,0.758181818
argentina,si,0.393333333
argentina,ec,0.411666667
australia,mr,0.316666667
australia,si,0.065
australia,ec,0.606666667
austria,mr,0.465
austria,si,0.4
austria,ec,0.85
bahamas,mr,0.616
bahamas,si,0.274
bahamas,ec,0.6
bangladesh,mr,0.723333333
bangladesh,si,0.55
bangladesh,ec,0.71
barbados,mr,0.7
barbados,si,0.4
barbados,ec,0.525
belgium,mr,0.855
belgium,si,0.335
belgium,ec,0.425
brazil,mr,0.807777778
brazil,si,0.316
brazil,ec,0.686
cameroon,mr,0.76
cameroon,si,0.285
cameroon,ec,0.4975
canada,mr,0.605
canada,si,0.62
canada,ec,0.63
centre_for_community_and_oceanic_law,mr,0.4
centre_for_community_and_oceanic_law,si,0.45
centre_for_community_and_oceanic_law,ec,0
chair_legal_and_technical_commission,mr,0.815
chair_legal_and_technical_commission,si,0.585
chair_legal_and_technical_commission,ec,0.59
chair_of_finance_committee,mr,0.856666667
chair_of_finance_committee,si,0.156666667
chair_of_finance_committee,ec,0.093333333
chile,mr,0.635789474
chile,si,0.376923077
chile,ec,0.679375
china,mr,0.788888889
china,si,0.26
china,ec,0.434166667
cook_islands,mr,0.9
cook_islands,si,0.05
cook_islands,ec,0.125
costa_rica,mr,0.484736842
costa_rica,si,0.4225
costa_rica,ec,0.649411765
council president,mr,0.875
council president,si,0.12
council president,ec,0.54
croatia,mr,0.2
croatia,si,0.65
croatia,ec,0.95
cuba,mr,0.65
cuba,si,0.225
cuba,ec,0.875
denmark,mr,0.35
denmark,si,0
denmark,ec,0.9
dosi,mr,0.125
dosi,si,0.864285714
dosi,ec,0.825
dscc,mr,0.043333333
dscc,si,0.561666667
dscc,ec,0.958333333
ecuador,mr,0.2
ecuador,si,0.6
ecuador,ec,0.95
federated_states_of_micronesia,mr,0.3
federated_states_of_micronesia,si,0.45
federated_states_of_micronesia,ec,0.8
fiji,mr,0.58
fiji,si,0.373333333
fiji,ec,0.49
france,mr,0.5025
france,si,0.38
france,ec,0.569375
germany,mr,0.435714286
germany,si,0.496666667
germany,ec,0.771111111
ghana,mr,0.658333333
ghana,si,0.2
ghana,ec,0.3375
greece,mr,0.218
greece,si,0.333333333
greece,ec,0.924
greenpeace,mr,0.28
greenpeace,si,0.365
greenpeace,ec,0.904
india,mr,0.810769231
india,si,0.357777778
india,ec,0.546666667
indonesia,mr,0.84
indonesia,si,0.07
indonesia,ec,0.74
interim_director_general_of_the_enterprise,mr,0.763333333
interim_director_general_of_the_enterprise,si,0.428
interim_director_general_of_the_enterprise,ec,0.3
international_telecommunication_union,mr,0
international_telecommunication_union,si,0.25
international_telecommunication_union,ec,0.2
ireland,mr,0.778
ireland,si,0.425714286
ireland,ec,0.433333333
italy,mr,0.58125
italy,si,0.393333333
italy,ec,0.728571429
iucn,mr,0.11
iucn,si,0.55
iucn,ec,0.935
ivory_coast,mr,0.433333333
ivory_coast,si,0.25
ivory_coast,ec,0.65
jamaica,mr,0.711
jamaica,si,0.214285714
jamaica,ec,0.489
japan,mr,0.86625
japan,si,0.268333333
japan,ec,0.376
kenya,mr,0.705
kenya,si,0.55
kenya,ec,0.603333333
legal_counsel,mr,0.75
legal_counsel,si,0.05
legal_counsel,ec,0
lesotho,mr,0.633333333
lesotho,si,0.55
lesotho,ec,0.7
madagascar,mr,0.483333333
madagascar,si,0.525
madagascar,ec,0.725
malta,mr,0.616666667
malta,si,0.683333333
malta,ec,0.783333333
marshall_islands,mr,0.42
marshall_islands,si,0.7
marshall_islands,ec,0.92
mauritius,mr,0.733333333
mauritius,si,0.2
mauritius,ec,0.25
mexico,mr,0.733333333
mexico,si,0.336666667
mexico,ec,0.41
monaco,mr,0.0875
monaco,si,0.566
monaco,ec,0.894
morocco,mr,0.645833333
morocco,si,0.4375
morocco,ec,0.5875
mozambique,mr,0.358333333
mozambique,si,0.35
mozambique,ec,0.675
nauru,mr,0.9125
nauru,si,0.695
nauru,ec,0.235
netherlands,mr,0.552
netherlands,si,0.506
netherlands,ec,0.51875
new_zealand,mr,0.81
new_zealand,si,0.45
new_zealand,ec,0.443333333
nigeria,mr,0.780833333
nigeria,si,0.37
nigeria,ec,0.58
norway,mr,0.445
norway,si,0.45
norway,ec,0.7325
oceans_north,mr,0.1
oceans_north,si,0.25
oceans_north,ec,0.85
opes_oceani_foundation,mr,0.885
opes_oceani_foundation,si,0.18
opes_oceani_foundation,ec,0.295
pakistan,mr,0.575
pakistan,si,0.275
pakistan,ec,0.84
palau,mr,0.093333333
palau,si,0.76
palau,ec,0.9075
panama,mr,0.19
panama,si,0.488333333
panama,ec,0.66
pew,mr,0.541666667
pew,si,0.556666667
pew,ec,0.86
philippines,mr,0.46
philippines,si,0.372857143
philippines,ec,0.75625
poland,mr,0.845
poland,si,0.216666667
poland,ec,0.49
portugal,mr,0.691111111
portugal,si,0.23125
portugal,ec,0.685
qatar,mr,0.78
qatar,si,0.5
qatar,ec,0.86
republic_of_korea,mr,0.235
republic_of_korea,si,0.85
republic_of_korea,ec,0.85
russia,mr,0.722857143
russia,si,0.288888889
russia,ec,0.655454545
samoa,mr,0.45
samoa,si,0.65
samoa,ec,0.9
saudi_arabia,mr,0.815
saudi_arabia,si,0.12
saudi_arabia,ec,0.36
secretary_general,mr,0.730714286
secretary_general,si,0.45
secretary_general,ec,0.432
senegal,mr,0.703333333
senegal,si,0.53
senegal,ec,0.645
sierra_leone,mr,0.721190476
sierra_leone,si,0.5025
sierra_leone,ec,0.501875
singapore,mr,0.808333333
singapore,si,0.333333333
singapore,ec,0.574
slovenia,mr,0
slovenia,si,0.4
slovenia,ec,0.95
south_africa,mr,0.579333333
south_africa,si,0.396
south_africa,ec,0.635
spain,mr,0.507777778
spain,si,0.3125
spain,ec,0.655555556
sri_lanka,mr,0.18
sri_lanka,si,0.73
sri_lanka,ec,0.92
sustainable_ocean_alliance,mr,0.02
sustainable_ocean_alliance,si,0.4
sustainable_ocean_alliance,ec,0.95
switzerland,mr,0.515
switzerland,si,0.3875
switzerland,ec,0.691111111
tanzania,mr,0.788333333
tanzania,si,0.41125
tanzania,ec,0.513333333
te_ipukarea_society,mr,0.05
te_ipukarea_society,si,0.2
te_ipukarea_society,ec,0.9
tetiaroa_society,mr,0
tetiaroa_society,si,0.3
tetiaroa_society,ec,0.95
the_ocean_and_us,mr,0.05
the_ocean_and_us,si,0.45
the_ocean_and_us,ec,0.98
tonga,mr,0.63
tonga,si,0.494444444
tonga,ec,0.586
trinidad_and_tobago,mr,0.71
trinidad_and_tobago,si,0.31
trinidad_and_tobago,ec,0.465714286
tuvalu,mr,0.2
tuvalu,si,0.45
tuvalu,ec,0.933333333
uganda,mr,0.603333333
uganda,si,0.375
uganda,ec,0.28
uk,mr,0.81
uk,si,0.311111111
uk,ec,0.547142857
usa,mr,0.9
usa,si,0.45
usa,ec,0.1
viet_nam,mr,0.815
viet_nam,si,0.485
viet_nam,ec,0.65
wwf,mr,0.05
wwf,si,0.5125
wwf,ec,0.955
zambia,mr,0.358333333
zambia,si,0.425
zambia,ec,0.71
zimbabwe,mr,0.67
zimbabwe,si,0.5225
zimbabwe,ec,0.474444444
